ESRS,DR,Paragraph,Name,Data Type,Filled Data,SFDR/BENCH,V [Voluntary]
ESRS 2,BP-2,13 b,Disclosure of revised comparative figures,narrative,No revised comparative figures have been disclosed as there were no material changes requiring restatement of previously reported information.,,
ESRS 2,BP-2,13 c,Disclosure of difference between figures disclosed in preceding period and revised comparative figures,narrative,Not applicable as no revised comparative figures have been presented.,,
ESRS 2,BP-2,14 a,Disclosure of nature of prior period material errors,narrative,No prior period material errors have been identified in relation to the sustainability information disclosed.,,
ESRS 2,BP-2,14 b,Disclosure of corrections for prior periods included in sustainability statement,narrative,Not applicable as no corrections for prior periods have been included in the sustainability statement.,,
ESRS 2,BP-2,14 c,Disclosure of why correction of prior period errors is not practicable,narrative,Not applicable as no prior period errors requiring correction have been identified.,,
ESRS 2,BP-2,15,Disclosure of other legislation or generally accepted sustainability reporting standards and frameworks based on which information has been included in sustainability statement,narrative,In addition to ESRS the sustainability statement draws where relevant on other generally accepted sustainability reporting standards and frameworks including internationally recognized guidelines and best practices.,,
ESRS 2,BP-2,15,Disclosure of reference to paragraphs of standard or framework applied,narrative,References to relevant sections and paragraphs of the applicable standards and frameworks have been applied consistently in the preparation of the sustainability statement where relevant.,,
ESRS 2,BP-2,AR 2,European standards approved by European Standardisation System (ISO/IEC or CEN/CENELEC standards) have been relied on,semi-narrative,European standards approved by the European Standardisation System including relevant ISO/IEC and CEN/CENELEC standards have been relied upon where applicable in the preparation of sustainability information.,,V
ESRS 2,BP-2,AR 2,Disclosure of extent to which data and processes that are used for sustainability reporting purposes have been verified by external assurance provider and found to conform to corresponding ISO/IEC or CEN/CENELEC standard,narrative,The data and processes used for sustainability reporting have not been subject to external assurance against ISO/IEC or CEN/CENELEC standards during the reporting period.,,V
ESRS 2,BP-2,16,List of DRs or DPs mandated by a Disclosure Requirement,narrative,The disclosure requirements applicable to this topic include the relevant data points and narrative disclosures as mandated under the corresponding ESRS Disclosure Requirement.,,
ESRS 2,BP-2,17,Topic has been assessed to be material,semi-narrative,The topic has been assessed to be material based on the outcome of the double materiality assessment.,,
ESRS 2,BP-2,17 a,List of sustainability matters assessed to be material (phase-in),semi-narrative,The sustainability matters assessed to be material include climate change own workforce business conduct and value chain impacts subject to phase-in provisions where applicable.,,
ESRS 2,BP-2,17 a,Disclosure of how business model and strategy take account of impacts related to sustainability matters assessed to be material (phase-in),narrative,The undertaking’s business model and strategy take account of material sustainability impacts risks and opportunities by integrating them into strategic planning risk management and decision-making processes.,,
ESRS 2,BP-2,17 b,Description of any time-bound targets set related to sustainability matters assessed to be material (phase-in) and progress made towards achieving those targets,narrative,Where applicable time-bound targets have been set for certain material sustainability matters and progress towards these targets is monitored through defined key performance indicators.,,
ESRS 2,BP-2,17 c,Description of policies related to sustainability matters assessed to be material (phase-in),narrative,The undertaking has established policies addressing material sustainability matters setting out commitments principles and responsibilities in line with applicable ESRS requirements.,,
ESRS 2,BP-2,17 d,Description of actions taken to identify monitor prevent mitigate remediate or bring end to actual or potential adverse impacts related to sustainability matters assessed to be material (phase-in) and result of such actions,narrative,Actions have been taken to identify monitor prevent mitigate and where necessary remediate actual or potential adverse impacts related to material sustainability matters with outcomes reviewed periodically.,,
ESRS 2,BP-2,17 e,Disclosure of metrics related to sustainability matters assessed to be material (phase-in),narrative,Metrics related to material sustainability matters are disclosed to monitor performance and progress subject to phase-in provisions where applicable.,,
ESRS 2,GOV-1,21,Information about composition and diversity of members of administrative management and supervisory bodies,narrative,The administrative management and supervisory bodies are composed of members with diverse backgrounds skills and experience supporting effective governance and oversight.,,
ESRS 2,GOV-1,21 a,Number of executive members,Integer,5,,
ESRS 2,GOV-1,21 a,Number of non-executive members,Integer,4,,
ESRS 2,GOV-1,21 b,Information about representation of employees and other workers,narrative,Employees and other workers are represented through established information and consultation mechanisms in accordance with applicable laws and internal practices.,,
ESRS 2,GOV-1,21 c,Information about member's experience relevant to sectors products and geographic locations of undertaking,narrative,Members of the administrative management and supervisory bodies have experience relevant to the undertaking’s sectors products and geographic locations.,,
ESRS 2,GOV-1,21 d,Percentage of members of administrative management and supervisory bodies,Percent,56,,
ESRS 2,GOV-1,21 d,Percentage of members of administrative management and supervisory bodies,Percent,44,,
ESRS 2,GOV-1,21 d,Board's gender diversity ratio,Percent,40,SFDR,
ESRS 2,GOV-1,21 e,Percentage of independent board members,Percent,50,SFDR,
ESRS 2,GOV-1,22,Information about roles and responsibilities of administrative management and supervisory bodies,narrative,The administrative management and supervisory bodies are responsible for overseeing strategy performance risk management and sustainability-related matters.,,
ESRS 2,GOV-1,22 a,Information about identity of administrative management and supervisory bodies or individual(s) within body responsible for oversight of impacts risks and opportunities,narrative,The administrative management and supervisory bodies or designated individuals within those bodies are responsible for the oversight of sustainability-related impacts risks and opportunities.,,
ESRS 2,GOV-1,22 b,Disclosure of how body's or individuals within body responsibilities for impacts risks and opportunities are reflected in undertaking's terms of reference board mandates and other related policies,narrative,Responsibilities for sustainability-related impacts risks and opportunities are reflected in the undertaking’s terms of reference board mandates and related governance policies.,,
ESRS 2,GOV-1,22 c,Description of managements role in governance processes controls and procedures used to monitor manage and oversee impacts risks and opportunities,narrative,Management is responsible for implementing governance processes controls and procedures to monitor manage and oversee sustainability-related impacts risks and opportunities in line with the strategic direction set by the administrative management and supervisory bodies.,,
ESRS 2,GOV-1,22 c i,Description of how oversight is exercised over management-level position or committee to which management's role is delegated to,narrative,Oversight over management-level roles or committees is exercised by the administrative management and supervisory bodies through regular reporting reviews and escalation mechanisms.,,
ESRS 2,GOV-1,22 c ii,Information about reporting lines to administrative management and supervisory bodies,narrative,Clear reporting lines are established between management and the administrative management and supervisory bodies to ensure effective oversight of sustainability-related matters.,,
ESRS 2,GOV-1,22 c iii,Disclosure of how dedicated controls and procedures are integrated with other internal functions,narrative,Dedicated sustainability-related controls and procedures are integrated with existing internal functions including risk management compliance internal audit and financial reporting.,,
ESRS 2,GOV-1,22 d,Disclosure of how administrative management and supervisory bodies and senior executive management oversee setting of targets related to material impacts risks and opportunities and how progress towards them is monitored,narrative,The administrative management and supervisory bodies and senior executive management oversee the setting of targets related to material impacts risks and opportunities and monitor progress through periodic performance reviews and reporting.,,
ESRS 2,GOV-1,23,Disclosure of how administrative management and supervisory bodies determine whether appropriate skills and expertise are available or will be developed to oversee sustainability matters,narrative,The administrative management and supervisory bodies assess whether appropriate skills and expertise are available or will be developed to oversee sustainability matters through evaluations training and external support where needed.,,
ESRS 2,GOV-1,23 a,Information about sustainability-related expertise that bodies either directly possess or can leverage,narrative,The bodies possess or can leverage sustainability-related expertise through members’ professional backgrounds internal specialists and external advisors.,,
ESRS 2,GOV-1,23 b,Disclosure of how sustainability-related skills and expertise relate to material impacts risks and opportunities,narrative,Sustainability-related skills and expertise are aligned with the undertaking’s material impacts risks and opportunities to support effective oversight and decision-making.,,
ESRS 2,GOV-2,26 a,Disclosure of whether by whom and how frequently administrative management and supervisory bodies are informed about material impacts risks and opportunities implementation of due diligence and results and effectiveness of policies actions metrics and targets adopted to address them,narrative,The administrative management and supervisory bodies are informed about material impacts risks and opportunities due diligence implementation and the effectiveness of policies actions metrics and targets on a regular basis through structured reporting.,,
ESRS 2,GOV-2,26 b,Disclosure of how administrative management and supervisory bodies consider impacts risks and opportunities when overseeing strategy decisions on major transactions and risk management process,narrative,Impacts risks and opportunities are considered by the administrative management and supervisory bodies when overseeing strategy major transactions and the overall risk management process.,,
ESRS 2,GOV-2,26 c,Disclosure of list of material impacts risks and opportunities addressed by administrative management and supervisory bodies or their relevant committees,narrative,The administrative management and supervisory bodies or their relevant committees address material impacts risks and opportunities identified through the undertaking’s materiality and risk assessment processes.,,
ESRS 2,GOV-2,AR 6,Disclosure of how governance bodies ensure that appropriate mechanism for performance monitoring is in place,narrative,Governance bodies ensure appropriate performance monitoring mechanisms are in place through defined metrics targets internal controls and regular performance reviews.,,V
ESRS 2,GOV-3,29,Incentive schemes and remuneration policies linked to sustainability matters for members of administrative management and supervisory bodies exist,semi-narrative,Incentive schemes and remuneration policies linked to sustainability matters exist for members of the administrative management and supervisory bodies.,,
ESRS 2,GOV-3,29 a,Description of key characteristics of incentive schemes,narrative,Key characteristics of incentive schemes include alignment with long-term value creation performance-based criteria and integration of sustainability-related objectives where applicable.,,
ESRS 2,GOV-3,29 b,Description of specific sustainability-related targets and (or) impacts used to assess performance of members of administrative management and supervisory bodies,narrative,Specific sustainability-related targets and impacts used to assess performance include progress against defined sustainability objectives and management of material impacts and risks.,,
ESRS 2,GOV-3,29 c,Disclosure of how sustainability-related performance metrics are considered as performance benchmarks or included in remuneration policies,narrative,Sustainability-related performance metrics are considered as performance benchmarks and are integrated into remuneration policies where applicable.,,
ESRS 2,GOV-3,29 d,Percentage of variable remuneration dependent on sustainability-related targets and (or) impacts,Percent,0.2,,
ESRS 2,GOV-3,29 e,Description of level in undertaking at which terms of incentive schemes are approved and updated,narrative,The terms of incentive schemes are approved and updated at senior governance level typically by the administrative management and supervisory bodies or their designated committees.,,
ESRS 2,GOV-4,30; 32,Disclosure of mapping of information provided in sustainability statement about due diligence process,narrative,The sustainability statement provides a clear mapping of information related to the due diligence process linking policies actions risks and outcomes.,SFDR,
ESRS 2,GOV-5,36 a,Description of scope main features and components of risk management and internal control processes and systems in relation to sustainability reporting,narrative,Risk management and internal control processes related to sustainability reporting cover the scope main features and components necessary to ensure data quality reliability and compliance with ESRS requirements.,,
ESRS 2,GOV-5,36 b,Description of risk assessment approach followed,narrative,The undertaking follows a structured risk assessment approach to identify assess and prioritize sustainability-related reporting risks.,,
ESRS 2,GOV-5,36 c,Description of main risks identified and their mitigation strategies,narrative,Main risks identified include data availability data quality and estimation uncertainty and these are addressed through defined mitigation measures and controls.,,
ESRS 2,GOV-5,36 d,Description of how findings of risk assessment and internal controls as regards sustainability reporting process have been integrated into relevant internal functions and processes,narrative,Findings from risk assessments and internal controls related to sustainability reporting are integrated into relevant internal functions and processes to drive continuous improvement.,,
ESRS 2,GOV-5,36 e,Description of periodic reporting of findings of risk assessment and internal controls to administrative management and supervisory bodies,narrative,Findings of risk assessments and internal controls are reported periodically to the administrative management and supervisory bodies to support effective oversight.,,
ESRS 2,SBM-1,40,Disclosure of information about key elements of general strategy that relate to or affect sustainability matters,narrative,The undertaking’s general strategy integrates sustainability considerations relevant to the textile sector including responsible sourcing of raw materials reduction of environmental impacts across production processes and social responsibility within its workforce and supply chain.,,
ESRS 2,SBM-1,40 a i,Description of significant groups of products and (or) services offered,narrative,The undertaking offers textile products including yarns fabrics and finished textile goods for apparel home textiles and industrial applications.,,
ESRS 2,SBM-1,40 a ii,Description of significant markets and (or) customer groups served,narrative,The undertaking serves domestic and international markets supplying textile products to apparel manufacturers brands wholesalers and institutional customers.,,
ESRS 2,SBM-1,40 a iii  ESRS G1 AR 8 G1-3,Total number of employees (head count),Integer,1250,,
ESRS 2,SBM-1,40 a iii  ESRS G1 AR 8 G1-3,Number of employees (head count),Integer,1250,,
ESRS 2,SBM-1,40 a iv,Description of products and services that are banned in certain markets,narrative,The undertaking does not manufacture or sell textile products that are banned in any of the markets in which it operates.,,
ESRS 2,SBM-1,40 b,Total revenue,Monetary,250000000,,
ESRS 2,SBM-1,40 b,Revenue by ESRS Sectors,Monetary,250000000,,
ESRS 2,SBM-1,40 c,List of additional significant ESRS sectors in which significant activities are developed or in which undertaking is or may be connected to material impacts,semi-narrative,Not applicable as no additional significant ESRS sectors beyond the textile and apparel value chain have been identified.,,
ESRS 2,SBM-1,40 d i,Undertaking is active in fossil fuel (coal oil and gas) sector,semi-narrative,No,SFDR,
ESRS 2,SBM-1,40 d i,Revenue from fossil fuel (coal oil and gas) sector,Monetary,0,,
ESRS 2,SBM-1,40 d i,Revenue from coal,Monetary,0,,
ESRS 2,SBM-1,40 d i,Revenue from oil,Monetary,0,,
ESRS 2,SBM-1,40 d i,Revenue from gas,Monetary,0,,
ESRS 2,SBM-1,40 d i,Revenue from Taxonomy-aligned economic activities related to fossil gas,Monetary,0,,
ESRS 2,SBM-1,40 d ii,Undertaking is active in chemicals production,semi-narrative,No,SFDR,
ESRS 2,SBM-1,40 d ii,Revenue from chemicals production,Monetary,0,SFDR,
ESRS 2,SBM-1,40 d iii,Undertaking is active in controversial weapons,semi-narrative,No,SFDR,
ESRS 2,SBM-1,40 d iii,Revenue from controversial weapons,Monetary,0,SFDR,
ESRS 2,SBM-1,40 d iv,Undertaking is active in cultivation and production of tobacco,semi-narrative,No,SFDR,
ESRS 2,SBM-1,40 d iv,Revenue from cultivation and production of tobacco,Monetary,0,SFDR,
ESRS 2,SBM-1,40 e,Description of sustainability-related goals in terms of significant groups of products and services customer categories geographical areas and relationships with stakeholders,narrative,Sustainability-related goals focus on reducing environmental impacts of textile production improving energy and water efficiency enhancing labor standards and strengthening relationships with customers and suppliers.,,
ESRS 2,SBM-1,40 f,Disclosure of assessment of current significant products and (or) services and significant markets and customer groups in relation to sustainability-related goals,narrative,The undertaking has assessed its textile products production processes markets and customer groups against sustainability-related goals identifying opportunities for efficiency improvements and risk mitigation.,,
ESRS 2,SBM-1,40 g,Disclosure of elements of strategy that relate to or impact sustainability matters,narrative,Strategic elements related to sustainability include responsible sourcing of fibers operational efficiency compliance with environmental and social regulations and long-term resilience of the textile value chain.,,
ESRS 2,SBM-1,41,List of ESRS sectors that are significant for undertaking,semi-narrative,Textiles and apparel manufacturing,,
ESRS 2,SBM-1,42,Description of business model and value chain,narrative,The business model is based on textile manufacturing and processing creating value through efficient production quality control and long-term customer relationships across the textile value chain.,,
ESRS 2,SBM-1,42 a,Description of inputs and approach to gathering developing and securing inputs,narrative,Inputs include raw fibers chemicals energy water and labor sourced through approved suppliers and managed using defined procurement and quality control processes.,,
ESRS 2,SBM-1,42 b,Description of outputs and outcomes in terms of current and expected benefits for customers investors and other stakeholders,narrative,Outputs include textile products delivered to customers generating economic value while aiming to reduce environmental footprint and support social responsibility.,,
ESRS 2,SBM-1,42 c,Description of main features of upstream and downstream value chain and undertakings position in value chain,narrative,The undertaking operates within an upstream and downstream value chain involving raw material suppliers processing partners logistics providers and customers in the textile and apparel sector.,,
ESRS 2,SBM-2,45 a,Description of stakeholder engagement,narrative,The undertaking engages with stakeholders through regular communication consultations audits and feedback mechanisms.,,
ESRS 2,SBM-2,45 a i,Description of key stakeholders,narrative,Key stakeholders include employees suppliers of raw materials customers business partners local communities regulators and investors.,,
ESRS 2,SBM-2,45 a ii,Description of categories of stakeholders for which engagement occurs,narrative,Stakeholder engagement covers internal stakeholders such as employees and management and external stakeholders including suppliers customers communities and regulators.,,
ESRS 2,SBM-2,45 a iii,Description of how stakeholder engagement is organised,narrative,Stakeholder engagement is organised through meetings supplier audits employee forums customer interactions and regulatory communications.,,
ESRS 2,SBM-2,45 a iv,Description of purpose of stakeholder engagement,narrative,The purpose of stakeholder engagement is to identify material sustainability impacts risks and opportunities and to inform strategy policies and operational decisions.,,
ESRS 2,SBM-2,45 a v,Description of how outcome of stakeholder engagement is taken into account,narrative,Outcomes of stakeholder engagement are incorporated into sustainability policies operational improvements supplier requirements and strategic planning.,,
ESRS 2,SBM-2,45 b,Description of understanding of interests and views of key stakeholders as they relate to undertaking's strategy and business model,narrative,The undertaking considers stakeholder interests and views when shaping its textile production strategy supply chain management and sustainability priorities.,,
ESRS 2,SBM-2,45 c,Description of amendments to strategy and (or) business model,narrative,During the reporting period minor amendments were made to operational practices to strengthen sustainability performance without fundamental changes to the business model.,,
ESRS 2,SBM-2,45 c i,Description of how strategy and (or) business model have been amended or are expected to be amended to address interests and views of stakeholders,narrative,The strategy is expected to evolve progressively to address stakeholder expectations related to sustainable textiles responsible sourcing and environmental performance.,,
ESRS 2,SBM-2,45 c ii,Description of any further steps that are being planned and in what timeline,narrative,Further steps include investments in energy-efficient machinery water recycling systems and enhanced supplier sustainability assessments over the medium term.,,
ESRS 2,SBM-2,45 c iii,Further steps that are being planned are likely to modify relationship with and views of stakeholders,semi-narrative,Yes,,
ESRS 2,SBM-2,45 d,Description of how administrative management and supervisory bodies are informed about views and interests of affected stakeholders with regard to sustainability-related impacts,narrative,The administrative management and supervisory bodies are informed about stakeholder views through regular management reports sustainability updates and audit results.,,
ESRS 2,SBM-3,48 a,Description of material impacts resulting from materiality assessment,narrative,Material impacts identified include water consumption energy use chemical management labor conditions and supply chain practices within textile operations.,,
ESRS 2,SBM-3,48 a,Description of material risks and opportunities resulting from materiality assessment,narrative,Material risks and opportunities include regulatory compliance resource efficiency supply chain disruptions and growing demand for sustainable textile products.,,
ESRS 2,SBM-3,48 b,Disclosure of current and anticipated effects of material impacts risks and opportunities on business model value chain strategy and decision-making and how undertaking has responded or plans to respond to these effects,narrative,Material impacts risks and opportunities influence the undertaking’s business model and strategy by driving investments in efficiency compliance and sustainable production practices.,,
ESRS 2,SBM-3,48 c i,Disclosure of how material negative and positive impacts affect (or are likely to affect) people or environment,narrative,Material negative and positive impacts affect the environment through water use emissions and waste and affect people through employment health safety and labor practices.,,
ESRS 2,SBM-3,48 c ii,Disclosure of how impacts originate from or are connected to strategy and business model,narrative,Impacts originate from textile manufacturing processes sourcing of raw materials and relationships with suppliers and customers.,,
ESRS 2,SBM-3,48 c iii,Disclosure of reasonably expected time horizons of impacts,narrative,Impacts are assessed over short-term (operational risks) medium-term (regulatory and efficiency improvements) and long-term (transition to sustainable textiles).,,
ESRS 2,SBM-3,48 c iv,Description of nature of activities or business relationships through which undertaking is involved with material impacts,narrative,The undertaking is involved with material impacts through its own textile manufacturing operations and through upstream supply chain relationships.,,
ESRS 2,SBM-3,48 d,Disclosure of current financial effects of material risks and opportunities on financial position financial performance and cash flows and material risks and opportunities for which there is significant risk of material adjustment within next annual reporting period to carrying amounts of assets and liabilities reported in related financial statements,narrative,Current financial effects of material risks and opportunities include operating cost pressures and efficiency-related savings with no material adjustments required to asset or liability carrying amounts in the current reporting period.,,
ESRS 2,SBM-3,48 e,Disclosure of anticipated financial effects of material risks and opportunities on financial position financial performance and cash flows over short- medium- and long-term,narrative,Anticipated financial effects include potential capital expenditures for sustainable technologies and long-term cost savings from improved resource efficiency.,,
ESRS 2,SBM-3,48 f,Information about resilience of strategy and business model regarding capacity to address material impacts and risks and to take advantage of material opportunities,narrative,The undertaking’s strategy and business model are considered resilient supported by its ability to adapt production processes manage supply chain risks and respond to sustainability-related market expectations.,,
ESRS 2,SBM-3,48 g,Disclosure of changes to material impacts risks and opportunities compared to previous reporting period,narrative,Compared to the previous reporting period there have been no significant changes in the material impacts risks and opportunities identified. Minor refinements reflect improved data availability and stakeholder input within the textile value chain.,,
ESRS 2,SBM-3,48 h,Disclosure of specification of impacts risks and opportunities that are covered by ESRS Disclosure Requirements as opposed to those covered by additional entity-specific disclosures,narrative,Impacts risks and opportunities covered by ESRS Disclosure Requirements primarily relate to environmental and social aspects of textile manufacturing while additional entity-specific disclosures address operational and supply chain characteristics specific to the undertaking.,,
ESRS 2,IRO-1,53 a,Description of methodologies and assumptions applied in process to identify impacts risks and opportunities,narrative,The methodologies applied include a double materiality assessment combining impact materiality and financial materiality using qualitative and quantitative criteria internal data stakeholder input and management judgement.,,
ESRS 2,IRO-1,53 b,Description of process to identify assess prioritise and monitor potential and actual impacts on people and environment informed by due diligence process,narrative,The process to identify assess prioritise and monitor impacts on people and the environment is aligned with due diligence principles and covers own operations and the textile supply chain.,,
ESRS 2,IRO-1,53 b i,Description of how process focuses on specific activities business relationships geographies or other factors that give rise to heightened risk of adverse impacts,narrative,The process focuses on activities and business relationships with heightened risk including textile production processes chemical use water-intensive operations and labor-intensive supply chain segments in specific geographies.,,
ESRS 2,IRO-1,53 b ii,Description of how process considers impacts with which undertaking is involved through own operations or as result of business relationships,narrative,The process considers impacts arising from the undertaking’s own textile manufacturing operations as well as impacts linked to upstream suppliers and downstream customers through business relationships.,,
ESRS 2,IRO-1,53 b iii,Description of how process includes consultation with affected stakeholders to understand how they may be impacted and with external experts,narrative,Consultation with affected stakeholders including employees suppliers and local communities as well as engagement with external experts where relevant is included to understand actual and potential impacts.,,
ESRS 2,IRO-1,53 b iv,Description of how process prioritises negative impacts based on their relative severity and likelihood and positive impacts based on their relative scale scope and likelihood and determines which sustainability matters are material for reporting purposes,narrative,Negative impacts are prioritised based on severity and likelihood while positive impacts are assessed based on scale scope and likelihood to determine which sustainability matters are material for reporting purposes.,,
ESRS 2,IRO-1,53 c,Description of process used to identify assess prioritise and monitor risks and opportunities that have or may have financial effects,narrative,Risks and opportunities with actual or potential financial effects are identified and assessed through a structured risk assessment process integrated with financial and operational planning.,,
ESRS 2,IRO-1,53 c i,Description of how connections of impacts and dependencies with risks and opportunities that may arise from those impacts and dependencies have been considered,narrative,Connections between impacts dependencies risks and opportunities are considered by analysing how environmental and social impacts in textile operations may translate into regulatory operational or market-related risks and opportunities.,,
ESRS 2,IRO-1,53 c ii,Description of how likelihood magnitude and nature of effects of identified risks and opportunities have been assessed,narrative,The likelihood magnitude and nature of effects of identified risks and opportunities are assessed using management judgement scenario considerations and available data.,,
ESRS 2,IRO-1,53 c iii,Description of how sustainability-related risks relative to other types of risks have been prioritised,narrative,Sustainability-related risks are prioritised alongside other business risks based on their potential impact on operations compliance costs and long-term value creation.,,
ESRS 2,IRO-1,53 d,Description of decision-making process and related internal control procedures,narrative,Decision-making is supported by defined internal control procedures management reviews and governance oversight to ensure consistency and reliability of assessments.,,
ESRS 2,IRO-1,53 e,Description of extent to which and how process to identify assess and manage impacts and risks is integrated into overall risk management process and used to evaluate overall risk profile and risk management processes,narrative,The process to identify assess and manage impacts and risks is integrated into the overall risk management framework and informs the undertaking’s overall risk profile.,,
ESRS 2,IRO-1,53 f,Description of extent to which and how process to identify assess and manage opportunities is integrated into overall management process,narrative,The process to identify assess and manage opportunities is integrated into strategic and operational management processes to support long-term value creation.,,
ESRS 2,IRO-1,53 g,Description of input parameters used in process to identify assess and manage material impacts risks and opportunities,narrative,Input parameters include severity likelihood scale scope irreversibility financial exposure regulatory requirements and stakeholder concerns.,,
ESRS 2,IRO-1,53 h,Description of how process to identify assess and manage impacts risks and opportunities has changed compared to prior reporting period,narrative,The process has been refined compared to the prior reporting period through enhanced documentation clearer prioritisation criteria and improved stakeholder engagement.,,
ESRS 2,IRO-2,56,Disclosure of list of data points that derive from other EU legislation and information on their location in sustainability statement,narrative,Relevant data points deriving from other EU legislation are included in the sustainability statement and referenced in the relevant ESRS sections.,,
ESRS 2,IRO-2,56,Disclosure of list of ESRS Disclosure Requirements complied with in preparing sustainability statement following outcome of materiality assessment,narrative,The sustainability statement has been prepared in compliance with applicable ESRS Disclosure Requirements identified as material following the materiality assessment.,,
ESRS 2,IRO-2,57,Explanation of negative materiality assessment for ESRS E1 Climate change,narrative,Climate change has been assessed as not material for this undertaking as its textile operations do not currently result in significant greenhouse gas emissions relative to its scale and climate-related risks are managed within existing operational controls.,,
ESRS 2,IRO-2,58,Explanation of negative materiality assessment for ESRS E2 Pollution,narrative,Pollution has been assessed as not material as textile production processes are subject to regulatory controls and no significant pollution incidents or material risks have been identified.,,V
